step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
87,82940,348,0.18654801119811504,0.5,0.9629629629629629
88,83552,352,0.1812872914047519,0.25,0.9578947368421052
89,84228,356,0.16732198468834275,0.5,0.983739837398374
90,85000,360,0.11552634196481205,0.5,0.9851851851851852
91,85772,364,0.14466275910441606,0.0,0.956989247311828
92,86320,368,0.2086770438785446,0.25,0.9230769230769231
93,86932,372,0.16794400560363473,0.25,0.9594594594594594
94,87832,376,0.1876463345428172,0.5,0.9672131147540983
95,89468,380,0.11298736419925955,0.5,0.9701492537313433
96,90272,384,0.1901567917772094,0.25,0.9594594594594594
97,91076,388,0.13354181605709958,0.75,0.9836065573770492
98,92200,392,0.11131866218885948,0.25,0.9743589743589743
99,94028,396,0.08475822090307766,0.75,0.9705882352941176
100,96016,400,0.12326560225260136,0.5,0.9731543624161074
101,96948,404,0.14070977389414904,0.75,0.9861111111111112
102,97560,408,0.16022013653108697,0.0,0.9565217391304348
103,98364,412,0.13032613350966002,0.75,0.9836065573770492
104,99072,416,0.14288017890887492,0.25,0.976
105,99876,420,0.14938546802242353,1.0,1.0
106,100840,424,0.1717719605560452,0.25,0.9534883720930233
107,101548,428,0.16181014538427954,1.0,1.0
108,102512,432,0.1499414989202604,0.75,0.9879518072289156
109,103956,436,0.10723647920163937,0.75,0.9789473684210527
110,104728,440,0.1960526145883094,0.0,0.9666666666666667
111,105468,444,0.1713442346279554,0.5,0.975
112,106208,448,0.176054050187325,0.25,0.9578947368421052
113,107460,452,0.12443024337742391,0.75,0.9880952380952381
114,108872,456,0.17363786706918877,0.5,0.978494623655914
115,109676,460,0.13535323633868906,0.5,0.9759036144578314
116,110480,464,0.12467094765141336,0.5,0.9659090909090909
117,111636,468,0.10859703434763358,0.5,0.9655172413793104
118,112504,472,0.16742718162414838,0.75,0.9906542056074766
119,113212,476,0.1651591616239438,0.25,0.9518072289156626
120,114528,480,0.08828320400795894,0.5,0.9854014598540146
121,115844,484,0.12300230428762328,0.0,0.9468085106382979
122,116680,488,0.1452753801997272,0.25,0.9444444444444444
123,117868,492,0.12439252533257378,0.75,0.9934640522875817
124,118864,496,0.1367301398365133,1.0,1.0
125,119380,500,0.2028335809986814,0.5,0.9534883720930233
126,120888,504,0.13042898682061313,0.25,0.975609756097561
127,122108,508,0.09230144734079648,0.5,0.9682539682539683
128,123584,512,0.12656014603380705,0.75,0.9642857142857143
129,124452,516,0.1492757877270473,0.25,0.9090909090909091
130,125160,520,0.142239516248417,0.25,0.9732142857142857
